Index	Name	Author	FileName	Tags	Dependencies	URL
0	CommunityLibrary	BG3 Community	CommunityLibrary_396c5966-09b0-40a1-af3f-93a5e9ce71c0.pak	API, Core, Library		
1	DiceSet_06		DiceSet_06_ee4989eb-aab8-968f-8674-812ea2f4bfd7.pak			
2	TutorialChestSummoning	wesslen	TutorialChestSummoning_505c630c-79fa-49b6-9f21-29a5f2322c2d.pak			
3	KvCampEvents	Kvalyr	KvCampEvents_1b8d381f-6210-4473-85be-600457267a87.pak			
4	Teleport To You	FallenStar	Teleport_To_You_ff4697d0-133a-4d23-802b-f99f0e5210db.pak			
5	CombatAutoSaver	OhhLoz	CombatAutoSaver_0c4a55f3-1b4b-40dc-9631-748c49ceb650.pak			
6	CombatAutoSaverOnEnd	OhhLoz	CombatAutoSaverOnEnd_9837d6f1-e2e9-442d-bd9e-4d700d9defad.pak			
7	CompatibilityFramework	BG3 Community	SubclassCompatibilityFramework_67fbbd53-7c7d-4cfa-9409-6d737b4d92a9.pak	Template		
